year,month,z20_mean,z20_std,z20_min,z20_max,valid_pct
2005,8,7.054265731178557,7.3485655973550985,5.0,38.107567400671876,72.96296296296296
2005,9,5.0,0.0,5.0,5.0,72.96296296296296
2005,10,5.0,0.0,5.0,5.0,72.96296296296296
2005,11,5.059962293345073,0.7389639516517149,5.0,15.348571374645191,72.96296296296296
2005,12,20.967609558786215,12.710626747098479,5.0,47.60206321130996,72.96296296296296
2006,1,26.567738041947496,13.879872554967926,5.0,51.64185392186064,72.96296296296296
2006,2,26.177147301305116,14.4602620840553,5.0,50.12455900181098,72.96296296296296
2006,3,25.276427154721098,13.49330548803163,5.0,48.85477673514702,72.96296296296296
2006,4,23.34029491823729,14.634251446600805,5.0,50.37343857946703,72.96296296296296
2006,5,24.522207670518643,16.29100734698363,5.0,55.969111186277786,72.96296296296296
2006,6,23.2260927869949,18.984629919053763,5.0,70.29471067290308,72.96296296296296
2006,7,28.491590336954317,21.540229802956734,5.0,86.1604533510226,72.96296296296296
2006,8,21.77040362915182,20.84123197085454,5.0,90.49098426541391,72.96296296296296
2006,9,9.208150204618189,10.835803131287207,5.0,55.8840475199891,72.96296296296296
2006,10,11.14961898302828,12.443397875562477,5.0,57.49318470932498,72.96296296296296
2006,11,17.57881922293947,14.417386114857717,5.0,52.35669340050101,72.96296296296296
2006,12,29.22610657739211,16.872560839951927,5.0,60.80681878243064,72.96296296296296
2007,1,34.48283253782757,16.407339301321286,7.4276207607283675,68.08662851803254,72.96296296296296
2007,2,33.20057975458032,17.218657007107655,5.48547999372537,65.013784514816,72.96296296296296
2007,3,30.206197511363083,18.08190674566839,5.0,65.55800116587216,72.96296296296296
2007,4,27.984743781429135,20.36138659675836,5.0,67.88638610201613,72.96296296296296
2007,5,24.47042963094141,21.58421672212065,5.0,72.00234803861835,72.96296296296296
2007,6,17.469203263740848,21.213490608373345,5.0,79.5355156462467,72.96296296296296
2007,7,7.670120481968779,11.784901166660433,5.0,88.32273001074836,72.96296296296296
2007,8,5.0,0.0,5.0,5.0,72.96296296296296
2007,9,5.0,0.0,5.0,5.0,72.96296296296296
2007,10,5.0,0.0,5.0,5.0,72.96296296296296
2007,11,5.0,0.0,5.0,5.0,72.96296296296296
2007,12,8.904886707025518,9.387865013082344,5.0,47.25736040365926,72.96296296296296
2008,1,21.413255305527105,11.55983950722978,5.0,53.499167616642254,72.96296296296296
2008,2,23.701206983169264,12.804373660949905,5.0,51.55086484381185,72.96296296296296
2008,3,25.757552317217407,12.504980992551385,5.0,52.12183876287318,72.96296296296296
2008,4,24.200796923348335,13.607683406839469,5.0,49.72430821362369,72.96296296296296
2008,5,35.92813950437785,16.086904290172324,5.0,71.59550083450762,72.96296296296296
2008,6,38.18326122305374,24.62187339302593,5.0,88.70921681917993,72.96296296296296
2008,7,34.660340944213644,23.191308424199324,5.0,75.0269207091713,72.96296296296296
2008,8,20.44359219623357,19.462664164837303,5.0,58.24188599328069,72.96296296296296
2008,9,12.298290683131574,14.463276681719123,5.0,57.19984949259114,72.96296296296296
2008,10,6.242976067982565,6.463236917168493,5.0,55.2156429912401,72.96296296296296
2008,11,12.746720120975935,14.164946757943198,5.0,58.038373862594106,72.96296296296296
2008,12,25.638603157329058,14.675849788837676,5.0,59.05987198128726,72.96296296296296
2009,1,27.83720519961456,14.465118055582776,5.0,55.12195315748993,72.96296296296296
2009,2,27.117290010980227,15.177892056636978,5.0,52.736156908050305,72.96296296296296
2009,3,27.39786188538429,15.820847243160062,5.0,55.85101606530095,72.96296296296296
2009,4,26.55311555144071,16.61104873577036,5.0,59.46916436886838,72.96296296296296
2009,5,25.91147517492075,17.206808942008497,5.0,61.94337299432385,72.96296296296296
2009,6,28.140090159414548,18.387151223609262,5.0,68.90986494114344,72.96296296296296
2009,7,23.40713699038061,19.431631119237235,5.0,76.37943574974221,72.96296296296296
2009,8,14.617819803795072,14.157044349436065,5.0,45.313460005156315,72.96296296296296
2009,9,7.2805849650434125,8.253432359840458,5.0,45.805082546864455,72.96296296296296
2009,10,8.801490352768278,11.658345459812983,5.0,56.97552142273645,72.96296296296296
2009,11,15.248301287503699,14.66899011565338,5.0,56.26988749558818,72.96296296296296
2009,12,26.199391779349373,16.442529607180912,5.0,64.90629672701486,72.96296296296296
2010,1,35.509485928554945,13.030439814110395,12.174125721259168,66.59678828637126,72.96296296296296
2010,2,37.96679212030102,14.065089963023972,11.197754338177095,66.84967075006293,72.96296296296296
2010,3,37.01627770757922,16.328697133322052,6.43552158650153,72.18464271670686,72.96296296296296
2010,4,37.405419371874316,18.596661055644795,5.746600280524726,76.71848185179712,72.96296296296296
2010,5,32.211095864712426,20.490002050829283,5.0,74.29770002058952,72.96296296296296
2010,6,22.899250549588803,24.406843199695086,5.0,78.98019677269927,72.96296296296296
2010,7,5.0,0.0,5.0,5.0,72.96296296296296
2010,8,5.0,0.0,5.0,5.0,72.96296296296296
2010,9,5.0,0.0,5.0,5.0,72.96296296296296
2010,10,5.0,0.0,5.0,5.0,72.96296296296296
2010,11,5.0,0.0,5.0,5.0,72.96296296296296
2010,12,15.660586275694099,13.584814603774841,5.0,41.568387434864626,72.96296296296296
2011,1,23.799094732678835,14.730909137156251,5.0,46.38264491726911,72.96296296296296
2011,2,25.59049561642184,13.385182532518895,5.0,45.38674978971277,72.96296296296296
