year,season,outcome,target,decision_month,is_summer,sst_z,chl_z,mhw_pct,lchl_pct,bio_thresh_pct,nino12_t1,nino12_t2,composite_hard,chl_source,sla_z,sla_cm,sla_pct_pos,thermal_shock,biomass_lag1
2015,1,REDUCED,1,3,1,0.5921112895011902,-0.0118567831814289,8.225905463474524,2.244663038928422,89.37998772252917,-0.57,0.06,0.1275872290730476,COP,0.4796658993838971,9.512609303254136,100.0,1,
2015,2,DISRUPTED,1,10,0,2.1463465690612797,-0.3493155241012573,91.52854511970534,7.660108832147341,17.43400859422959,2.26,1.8,1.4502648372650149,COP,1.801613004616193,9.591753843082444,100.0,0,
2016,1,DISRUPTED,1,3,1,0.8265211582183838,-0.4970888793468475,16.94290976058932,22.010604157946144,90.914671577655,1.01,1.21,0.7314440150260926,COP,1.2180278594785297,12.111399480934349,100.0,1,
2016,2,NORMAL,0,10,0,1.2623813152313232,0.082863338291645,59.791282995702886,6.829914887679643,3.74462860650706,0.59,0.4,0.5898071907758713,COP,0.5366415306535849,5.041855659812345,99.24136554202435,0,
2017,1,REDUCED,1,3,1,1.2300186157226562,-0.9728723168373108,53.83670963781461,31.51772010604158,92.20380601596072,1.14,1.07,1.1091563730239868,COP,1.0370667736998975,11.5170493112398,100.0,1,
2017,2,NORMAL,0,10,0,-0.4554460346698761,-0.2222067713737487,0.0,6.78980047439654,7.243707796193983,-0.71,-0.28,-0.2352957053184509,COP,-0.2234202988871263,2.44626871631064,89.8283090437213,0,
2018,1,NORMAL,0,3,1,-1.28304123878479,0.3470110595226288,0.0,3.294614203990512,58.011049723756905,-0.49,-0.74,-0.7500209193229675,COP,-0.4123844381846103,6.996044120582956,99.2014374126572,1,
2018,2,NORMAL,0,10,0,0.6391685605049133,-0.4820763170719147,3.867403314917127,34.66234128645179,8.962553713934929,0.02,-0.18,0.4524979510307312,COP,0.9456741347607936,6.690878418846101,97.34477939708523,0,11.21
2019,1,NORMAL,0,3,1,-0.1517450660467147,-0.0554983057081699,1.7188459177409454,14.347007115948095,75.93615715162676,0.67,0.8,0.095501295864582,COP,0.5972713127395859,10.01281293671392,100.0,1,8.78
2019,2,NORMAL,0,10,0,0.1425598561763763,-0.2318209260702133,1.289134438305709,10.203013813311008,9.330877839165131,-0.72,-0.47,0.0057523128986358,COP,0.2685763549114957,4.3233419844280325,97.09522858854062,0,8.82
2020,1,NORMAL,0,3,1,0.2041853964328766,-0.3586085736751556,7.120933087783916,12.309892563136598,83.30263965623081,0.14,-0.03,0.2531175880432129,COP,0.4832880112451713,9.718507686164852,99.83030545018966,1,8.38
2020,2,NORMAL,0,10,0,0.0123338522389531,0.3193434774875641,0.49109883364027,4.22247802427794,8.225905463474524,-0.76,-0.69,-0.2748038500994444,COP,0.0319148646735045,3.3678319025753662,93.87103214214414,0,11.05
2021,1,NORMAL,0,3,1,-1.1977801322937012,0.3904135823249817,0.0,1.0359983256592715,56.660527931246165,-0.58,-0.74,-0.7512774858474732,COP,-0.2640707838715826,7.454274306248727,99.95008983829108,1,9.52
2021,2,NORMAL,0,10,0,0.1369720548391342,0.3135119080543518,0.5524861878453038,8.720524626761545,10.374462860650706,0.18,-0.01,-0.034615941286087,COP,0.0609482110732106,3.338346975444209,97.03533639448992,0,12.03
2022,1,NORMAL,0,3,1,-1.1531293392181396,-0.3328903317451477,0.0,21.79782335705316,70.28852056476366,-1.43,-0.7,-0.6140956029891967,COP,0.298452051473271,9.058933918945907,99.03174286284688,1,8.03
2022,2,DISRUPTED,1,10,0,-1.0258680582046509,-0.6953262686729431,0.0,12.098855867168968,7.059545733578883,-1.12,-0.57,-0.3562167158126831,COP,-0.2768760534503464,2.3468336993412,89.81832701137952,0,7.13
2023,1,CANCELLED,1,3,1,1.917378544807434,-1.254974365234375,92.756292203806,39.76035998325659,97.72866789441376,0.71,-0.24,1.4109411640167235,COP,1.3996568858338054,12.198088440806552,99.9401078059493,1,4.68
2023,2,DISRUPTED,1,10,0,2.3651678562164307,-0.2543586790561676,92.0196439533456,25.88949351192968,19.03007980356047,2.82,3.3,1.6118106141090394,COP,2.151034090684892,10.12390696745856,100.0,0,
2024,1,NORMAL,0,3,1,0.0029963299166411,0.9148765206336976,3.806015960712093,6.045067671271104,76.1817065684469,0.92,0.83,-0.1807520762868226,COP,0.4773969439838777,9.737264923138328,99.92014374126572,1,
2024,2,NORMAL,0,10,0,0.5147361159324646,-0.2723298072814941,12.338858195211786,11.498883772847774,6.752608962553714,-0.68,-0.34,0.1788263692855835,COP,0.6903990420385802,5.241051108005614,99.9401078059493,0,
